Nomre Producto,Categoria,Subcategoria,Descripcion,precio,imagen_url
Durapets Bandeja,Accesorios,Gato,"Kit Bandeja, pala y plato",308,3
Baño cerrado ,Accesorios,Gato,Baño cerrado (56x40x40cm) +pala,690,2
Antideslizante,Accesorios,Perro,Medias antideslizantes ,81,3
Antideslizante,Accesorios,Perro,Medias antideslizantes ,86,4
Comedero lento,Accesorios,Perro,Comedero Lento Ed. (650ml),99,5
Comedero lento,Accesorios,Perro,Comedero Lento Ed. (1.200ml),140,6
Comedero tradicional,Accesorios,Perro,Comedero trad. Medio,53,7
Comedero tradicional,Accesorios,Perro,Comedero trad. Grande,75,8
Comedero doble,Accesorios,Perro/Gato,Comedero doble BP6404 40x18xH6cm,202,9
Bebedero y comedero,Accesorios,Perro/Gato,CTB6221S,140,10
Corta Uñas,Accesorios,Perro/Gato,NC5008M,180,11
Corta uñas y lima,Accesorios,Perro/Gato,GS302S,208,12
Bozal,Accesorios,Perro,DZ02-3,86,13
Bozal,Accesorios,Perro,DZ02-5,108,14
Bozal,Accesorios,Perro,DZ02-7,128,15
Pretales S,Accesorios,Perro,SH399S,168,16
Pretales M,Accesorios,Perro,SH399M,202,17
Pretales L,Accesorios,Perro,SH399L,232,18
Traje post quirurguco S,Accesorios,Perro/Gato,CWSO1 S,305,19
Traje post quirurguco M,Accesorios,Perro,CWSO1 M,320,20
Traje post quirurguco L,Accesorios,Perro,CWSO1 L,335,21
Comedero doble AH,Accesorios,Perro,Comedero doble 415-685ml,145,22
Bebedero,Accesorios,Perro/Gato,Bebedero 6701,45,23
Cama 040,Accesorios,Perro/Gato,Cama 040 (45x45),550,81
Cama 044,Accesorios,Perro/Gato,Cama (43x36x13cm),786,24
Cama 045,Accesorios,Perro/Gato,Cama (70x56x21 cm),1090,25
LickiMat,Accesorios,Perro/Gato,LickiMat 20x20cm,216,26
Juguete,Accesorios,Perro,Juguete rasca encias,213,27
Tropical Fish,Alimento,Peces,TF Escamas 14gr,98,28
Goldfish,Alimento,Peces,GF Escamas 14gr,98,29
Golosina gatos,Alimento,Gato,Golosina con yerba gatera (4×8 cm) QQ-09 PROMO 10+2,79,30
Palito fino ,Alimento,Perro,Palitos finos blanco,12,31
Oreja de vaca,Alimento,Perro,Oreja de vaca,35,32
Hueso ,Alimento,Perro,Hueso fibra de coco S,176,33
Hueso,Alimento,Perro,Hueso fibra de coco M,260,34
Hueso,Alimento,Perro,Hueso fibra de coco G,353,35
Bocao Premiun Gato Adulto,Alimento,Gato,"Bocao Premium Gato Adulto 10,1kg+ rascador",1404,36
Pet Palatto Premiun G. Cast.,Alimento,Gato,Pet Palatto Premiun Gato Castrado 10kg + transportadora ,2180,37
Pet Palatto Premiun G. Cast.,Alimento,Gato,Pet Palatto Premiun Gato Castrado 1kg,246,38
Pet Palatto Super Premiun Adulto,Alimento,Perro,Pet Palatto Super Premiun Adulto 3kg,475,1
Pet palatto SP. Raza Peq.,Alimento,Perro,Pet palatto S.Premiun Raza Pequeña 3kg,495,39
Pet Palatto Tradicional,Alimento,Perro,Pet Palatto premiun Tradicional 25kg + colchoneta,2760,40
Bocao Original,Alimento,Perro,Bocao Origianl 25kg +plato + Dona Pollo,2235,41
Bocao Original,Alimento,Perro,Bocao Original 7kg,668,42
Arena aglomerante,Higiene,Gato,Charm Cat Lavanda 5lt,260,43
Arena aglomerante,Higiene,Gato,Charm Cat Cafe 5lt,260,44
Piedras,Higiene,Gato,"Piedras Cat Point 1,8kg",105,45
Pañales Sativa,Higiene,Perro/Gato,Pañales Sativa 60x60 (30un),537,46
Porta Bolsitas,Higiene,Perro/Gato,Porta bolsitas,26,47
Pañuelos PetClean,Higiene,Perro,Pañuelos humedos PetClean Macho 75U,250,48
Pañuelos PetClean,Higiene,Perro,Pañuelos humedos  PetClean Hembras 75U,250,49
Pañuelos PetClean,Higiene,Perro,Pañuelos humedos PetClean Cachorros 75U,260,50
Pañuelos PetClean,Higiene,Gato,Pañuelos  humedos  PetClean Gato 75U,260,51
Hidratante PetClean,Higiene,Perro,Hidratante de hocico PetClean 60gr,247,52
Shampoo PetClean,Higiene,Perro,Shampoo PetClean neutralizador de olores 700ml,280,53
Shampoo PetClean,Higiene,Perro,Shampoo PetClean Pieles Sensibles 700ml,295,54
Shampoo PetClean,Higiene,Perro,Shampoo PetClean 5 en 1 700ml,260,55
Shampoo PetClean,Higiene,Perro,Shampoo PetClean Oscurecedor 700ml,260,56
Shampoo PetClean,Higiene,Perro,Shampoo PetClean  Bomba de Vit 700ml,275,57
Shampoo PetClean,Higiene,Perro,Shampoo PetClean Cachorros 700ml,285,58
Shampoo PetClean,Higiene,Perro,Shampoo PetClean Blanqueo 700ml,270,59
Shampoo Seco,Higiene,Gato,Shampoo PetClean Shampoo seco gatos,259,60
Foliar,Jardineria,Plantas,Hook Foliar para hojas 1lt,412,61
Foliar,Jardineria,Plantas,Hook Foliar para flores 1lt,487,62
Juguete,Accesorios,Perro/Gato,VT4104M 21CM,105,63
Juguete,Accesorios,Perro/Gato,VT4130M 14.5CM,102,64
Juguete HUESO GEL L,Accesorios,Perro/Gato,PT1000L ,78,65
Juguete,Accesorios,Perro/Gato,R39211,79,67
Juguete,Accesorios,Perro/Gato,R32009,106,66
Juguete,Accesorios,Perro/Gato,R33103,166,68
Juguete,Accesorios,Perro/Gato,R35207,120,69
Juguete,Accesorios,Perro/Gato,CT9022,77,70
Juguete,Accesorios,Perro/Gato,CT8216,100,71
Juguete,Accesorios,Perro/Gato,CT31020,264,72
Juguete,Accesorios,Perro/Gato,CT8742,172,73
Juguete,Accesorios,Perro/Gato,CT8823,86,74
Juguete,Accesorios,Perro/Gato,VT1036M,69,75
Juguete,Accesorios,Perro/Gato,TP1070,100,76
Juguete,Accesorios,Perro/Gato,TP1050,75,78
Juguete,Accesorios,Perro/Gato,TP2411,230,79
Juguete,Accesorios,Perro/Gato,TY032,93,80
